Date,Site,Treatment,Plot,Flux,camb,tav,pav,wav,nee_lm,nee_exp,LM rsqd,non-linear sigma,aic_lm,aic_nlm,Veg_temp,Soil_temp,PAR,Moisture,Amb_temp,ph
13-Mar-20,TRE,C,1,P0,177.0670438,-65.66880435,65.95423913,12.52195652,-0.6656761844,-0.6868687256,0.3356194509,0.3994102851,74.18196424,74.13501209,9.425,10.05,516,95.33,,6.6
13-Mar-20,TRE,C,2,P0,180.0497573,-65.67946809,65.94702128,11.95393617,-0.1906602736,-0.1087063624,0.05620105307,0.3357258783,48.34823106,49.81782642,8,9.9,757,100,,6.3
13-Mar-20,TRE,C,3,P0,179.5090756,-65.68054054,65.95148649,11.51216216,-2.184495909,-1.894128939,0.8702396429,0.3500370192,43.20282096,51.22852137,8.02,11,436,100,6.7,5
13-Mar-20,TRE,C,1,R0,177.0704359,-65.66903226,65.95290323,11.96967742,-2.855065881,-2.153031885,0.8924707402,0.5336312727,82.16494514,114.695242,8.04,10.05,2,95.33,,6.6
13-Mar-20,TRE,C,2,R0,180.062179,-65.67304878,65.9445122,12.01597561,-2.394350851,-2.426937197,0.8928752319,0.3359088066,56.89027322,49.23761158,7.575,9.9,1,100,,6.3
13-Mar-20,TRE,C,3,R0,179.4779488,-65.7043299,65.95536082,10.92134021,-2.069339336,-1.51851369,0.8713935772,0.4244986808,50.65179654,82.66377375,8.12,10.8,1,100,6.7,5
13-Mar-20,TRE,C,1,P,174.2266343,-65.66946809,65.75170213,12.49457447,0.9081788238,-335.7506882,0.3614105308,0.3141390097,33.86239277,27.44588952,9.86,10.4,993,100,7.8,6
13-Mar-20,TRE,C,2,P,176.8478074,-65.64365591,65.73741935,13.3472043,1.60958268,1.081646057,0.7786452961,0.4438508052,62.38596797,88.90491545,9.8,10.3,2003,100,,7
13-Mar-20,TRE,C,3,P,174.2132771,-65.66282609,65.73869565,14.18782609,-0.1192235016,-0.1573326748,0.01042567296,0.3808783698,7.529645708,35.69701624,11.02,11,901,100,10.0,6.9
13-Mar-20,TRE,C,4,P,196.4351912,-65.67903226,65.7383871,13.98,3.864338864,3.440175145,0.9279080321,0.500092338,94.69157986,105.607514,10.04,10.1,2471,92.44,12.2,6.5
13-Mar-20,TRE,C,5,P,173.1579405,-65.66164835,65.71703297,14.36450549,3.595761062,2.775205162,0.9139588148,0.4364765631,38.51340598,62.9506938,9.62,10.8,2912,87.5,10.6,5.6
13-Mar-20,TRE,C,1,R,174.2164997,-65.68419355,65.75086022,12.30322581,-2.993776086,-61.78564257,0.8572361198,0.4729910156,112.2906004,97.80722314,8.98,10.1,4,100,,6
13-Mar-20,TRE,C,2,R,176.8130957,-65.65722892,65.7460241,12.77096386,-2.462620472,-52.26863536,0.8531487877,0.4215576397,87.02323043,81.69044041,8.78,10.3,5,100,10.0,6
13-Mar-20,TRE,C,3,R,174.1951782,-65.67924731,65.74032258,13.03591398,-2.835296926,-2.151484041,0.8975167264,0.5198012237,77.92375892,111.0190347,9.9,11,2,100,8.3,6.9
13-Mar-20,TRE,C,4,R,196.4632091,-65.66644444,65.733,14.42,-2.101486023,-1.577276278,0.8822461494,0.410499538,46.72753166,77.9690005,8.16,10.1,5,92.44,11.1,6.5
13-Mar-20,TRE,C,5,R,173.1629207,-65.66296703,65.71472527,15.06054945,-2.004777253,-1.415987162,0.8326278495,0.4742590272,69.21948174,98.18203808,11.52,10.8,2,87.5,10.0,5.6
14-Mar-20,ACJ,C,1,P,166.3608982,-65.64549451,67.88230769,14.66131868,8.894774858,7.650693262,0.9777809036,0.5753588145,55.13517321,90.57661283,15.94,11.4,7144,100,,6
14-Mar-20,ACJ,C,2,P,162.9330028,-65.68717391,67.86054348,17.04847826,2.553425978,-146.9802994,0.5607669992,0.9520715747,195.839938,195.7461582,21.68,11,5374,100,,5.9
14-Mar-20,ACJ,C,2,P1,162.9606077,-65.65626506,67.85915663,17.9726506,3.130953201,-88.83992983,0.6179028055,0.9529645713,208.1836512,195.8774098,15.72,11.5,5497,100,,5.9
14-Mar-20,ACJ,C,2,P2,162.9418911,-65.67225806,67.86172043,16.5811828,6.273816691,-17.81651528,0.9289837688,0.6803957738,158.5776176,148.7109789,17.34,11.5,5620,100,20.6,5.9
14-Mar-20,ACJ,C,2,P3,162.9716415,-65.65311828,67.8555914,16.04698925,3.117544354,0.6159409969,0.7474471151,1.07275072,104.2171499,167.7708415,19.78,11.3,3699,100,21.7,5.9
14-Mar-20,ACJ,C,3,P,167.7745492,-65.67402174,67.82326087,15.00456522,4.6488954,3.656152713,0.9411255476,0.6581319336,101.2929065,144.0532866,12.46,11,4772,100,21.1,6.5
14-Mar-20,ACJ,C,4,P,165.5908146,-65.65340659,67.79461538,14.29615385,0.2766707102,-209.1734512,0.08999817089,0.3693052708,61.64852388,63.16383118,13.8,11.6,1264,100,,6
14-Mar-20,ACJ,C,5,P,165.0549415,-65.66925532,67.76117021,13.54946809,1.144550607,0.4654336301,0.5462714194,0.5381624491,85.77236079,115.8789931,12.06,11.7,1035,100,,6
14-Mar-20,ACJ,C,1,R,166.3872706,-65.64404494,67.87202247,15.88842697,-1.074908806,185.1379016,0.5731517226,0.4516009452,69.2374372,91.32837754,13.5,11.2,2,100,,6
14-Mar-20,ACJ,C,2,R,162.9624121,-65.69741935,67.84494624,16.2455914,-3.252182354,-49.35737244,0.9214888212,0.3655251856,72.6012879,61.72345379,16.28,11.4,5,100,,5.9
14-Mar-20,ACJ,C,3,R,167.8059598,-65.64765306,67.81918367,16.4955102,-4.113582853,-3.272336826,0.9567863768,0.5273210433,61.0280635,113.0298655,11.88,11.45,10,100,,6.5
14-Mar-20,ACJ,C,4,R,165.5991007,-65.66380435,67.78782609,13.51217391,-1.87733443,-227.6171195,0.3097777458,0.8167550477,130.3253158,125.6111488,17.74,11.6,11,100,,6
14-Mar-20,ACJ,C,5,R,165.0977528,-65.64043011,67.75301075,15.77731183,-3.238257168,-2.93718217,0.9065606384,0.4501386363,85.6878177,90.87431425,12.44,11.7,10,100,,6
15-Mar-20,WAY,C,1,P,156.7684558,-65.66521739,70.82097826,16.10608696,8.387543243,7.631973715,0.9624279895,0.7110370508,145.6369388,154.8779635,15.3,14.55,4342,100,,6.9
15-Mar-20,WAY,C,1,P1,156.7462189,-65.7075,70.81659091,16.86886364,6.390700265,5.698834355,0.9355187424,0.7253790242,147.4525979,157.6737314,19.02,14.55,3791,100,,6.9
15-Mar-20,WAY,C,1,P2,156.7952957,-65.6625,70.80978261,16.2625,5.833873838,4.829998098,0.964353742,0.6198292369,90.24206194,135.6586902,17.88,14.55,3445,100,,6.9
15-Mar-20,WAY,C,1,P3,156.7810308,-65.6932967,70.80571429,15.40835165,1.678603011,-47.48081474,0.7752579362,0.3487194839,59.48488297,55.13402391,17.44,14.55,1981,100,,6.9
15-Mar-20,WAY,C,2,P,157.7102754,-65.66766667,70.75988889,16.58544444,4.850807902,30.44635443,0.952672382,0.4333428098,69.90997696,79.72119375,19.68,17.1,3575,100,25.5,6.8
15-Mar-20,WAY,C,2,P1,157.7643171,-65.65844828,70.7387931,14.02784483,5.545961167,5.126972458,0.9649459109,0.4466432385,81.63176204,89.78294925,16.22,17.1,3381,100,,6.8
15-Mar-20,WAY,C,2,P2,157.7582082,-65.69017857,70.73071429,14.87526786,3.454882673,-68.63750445,0.8523589356,0.4486875885,107.4448651,84.24489842,17.14,17.1,3018,100,,6.8
15-Mar-20,WAY,C,2,P3,157.7739324,-65.70146789,70.71981651,15.30458716,3.873140521,2.811167171,0.9289891756,0.629476363,83.6771003,137.8208906,17.98,17.4,2644,100,,6.8
15-Mar-20,WAY,C,1,R,156.8014918,-65.68030303,70.80090909,14.54919192,-4.163632471,-2.706034545,0.9488041223,0.6150401343,41.55567676,115.9104004,16.08,14.55,10,100,,6.9
15-Mar-20,WAY,C,2,R,157.8390699,-65.66419355,70.70333333,14.15763441,-3.060435961,-2.507445902,0.8651579368,0.4469087861,68.80222463,77.59043931,16.28,17.4,8,100,,6.8
