tier,site,plot_id,vegHeight,coverSum,HeightXCover
Peru_2019,ACJ,PE_ACJ_C_4,24.2,445,10769
Peru_2019,ACJ,PE_ACJ_C_4,39,445,17355
Peru_2019,ACJ,PE_ACJ_C_5,29.4,539,15846.6
Peru_2019,ACJ,PE_ACJ_C_5,28.6,539,15415.4
Peru_2019,ACJ,PE_ACJ_NB_1,18,178.5,3213
Peru_2019,ACJ,PE_ACJ_NB_2,16.4,130,2132
Peru_2019,ACJ,PE_ACJ_NB_3,20.4,194.5,3967.8
Peru_2019,ACJ,PE_ACJ_NB_4,26.8,164,4395.2
Peru_2019,ACJ,PE_ACJ_NB_5,26.6,165.5,4402.3
Peru_2019,OCC,PE_OCC_C_1,6.6,129.5,854.7
Peru_2019,OCC,PE_OCC_C_2,2.2,81.5,179.3
Peru_2019,OCC,PE_OCC_C_3,2.4,72,172.8
Peru_2019,OCC,PE_OCC_C_4,7.6,103.5,786.6
Peru_2019,OCC,PE_OCC_C_5,3.5,122.5,428.75
Peru_2019,PIL,PE_PIL_B_1,19.4,528,10243.2
Peru_2019,PIL,PE_PIL_B_1,35.4,528,18691.2
Peru_2019,PIL,PE_PIL_B_2,30.4,461,14014.4
Peru_2019,PIL,PE_PIL_B_2,33.8,461,15581.8
Peru_2019,PIL,PE_PIL_B_3,19.4,632,12260.8
Peru_2019,PIL,PE_PIL_B_3,31.6,632,19971.2
Peru_2019,PIL,PE_PIL_B_4,19.2,552,10598.4
Peru_2019,PIL,PE_PIL_B_4,26.6,552,14683.2
Peru_2019,PIL,PE_PIL_B_5,17,656,11152
Peru_2019,PIL,PE_PIL_B_5,36.6,656,24009.6
Peru_2019,PIL,PE_PIL_C_1,23.4,756,17690.4
Peru_2019,PIL,PE_PIL_C_1,26.8,756,20260.8
Peru_2019,PIL,PE_PIL_C_2,24.4,654,15957.6
Peru_2019,PIL,PE_PIL_C_2,39.6,654,25898.4
Peru_2019,PIL,PE_PIL_C_3,27.6,611,16863.6
Peru_2019,PIL,PE_PIL_C_3,30,611,18330
Peru_2019,PIL,PE_PIL_C_4,24.6,664,16334.4
Peru_2019,PIL,PE_PIL_C_4,35.8,664,23771.2
Peru_2019,PIL,PE_PIL_C_5,23.6,765,18054
Peru_2019,PIL,PE_PIL_C_5,35.6,765,27234
