turfID,type,flux,temp_soil,temp_airavg,PARavg,datetime,fluxID,flag,flux_noflag,time,flux_corrected,warming,origSiteID,destSiteID
156 AN2C 156,ER,98.61491125513395,12.546289308176101,22.0514465408805,1.7540251572327044,2022-07-28T12:46:58Z,66,ok,98.61491125513395,12:46:58,98.61491125513395,A,Joa,Joa
156 AN2C 156,NEE,24.648217630433514,12.54314465408805,24.634088050314464,1484.1106289308177,2022-07-28T12:42:46Z,65,ok,24.648217630433514,12:42:46,-12.479145224917858,A,Joa,Joa
156 AN2C 156,GPP,-73.96669362470044,NA,NA,1484.1106289308177,2022-07-28T12:42:46Z,NA,ok,NA,12:42:46,-111.09405648005182,A,Joa,Joa
74 WN2C 155,ER,75.85983536113868,16.04924528301887,24.020188679245283,2.4537735849056603,2022-07-28T12:55:20Z,68,ok,75.85983536113868,12:55:20,75.85983536113868,W,Lia,Joa
74 WN2C 155,NEE,38.11967790978908,15.99308176100629,26.39748427672956,1179.2930817610063,2022-07-28T12:51:13Z,67,ok,38.11967790978908,12:51:13,0.9923150544377108,W,Lia,Joa
74 WN2C 155,GPP,-37.740157451349596,NA,NA,1179.2930817610063,2022-07-28T12:51:13Z,NA,ok,NA,12:51:13,-74.86752030670097,W,Lia,Joa
109 AN3C 109,ER,79.38292648771977,16.043018867924527,24.085849056603774,1.270314465408805,2022-07-28T13:05:37Z,70,ok,79.38292648771977,13:05:37,79.38292648771977,A,Joa,Joa
109 AN3C 109,NEE,-12.117274543575146,15.899182389937106,26.576415094339623,407.4356603773585,2022-07-28T13:01:18Z,69,ok,-12.117274543575146,13:01:18,-49.244637398926514,A,Joa,Joa
109 AN3C 109,GPP,-91.50020103129492,NA,NA,407.4356603773585,2022-07-28T13:01:18Z,NA,ok,NA,13:01:18,-128.6275638866463,A,Joa,Joa
29 WN3C 106,ER,91.25494819582497,17.1011320754717,23.766666666666666,0.5019496855345912,2022-07-28T13:14:17Z,72,ok,91.25494819582497,13:14:17,91.25494819582497,W,Lia,Joa
29 WN3C 106,NEE,48.329267514305876,17.943207547169813,26.32987421383648,1415.2347169811321,2022-07-28T13:10:10Z,71,ok,48.329267514305876,13:10:10,11.201904658954504,W,Lia,Joa
29 WN3C 106,GPP,-42.92568068151909,NA,NA,1415.2347169811321,2022-07-28T13:10:10Z,NA,ok,NA,13:10:10,-80.05304353687046,W,Lia,Joa
81 AN1C 81,ER,53.483534123733655,15.848490566037736,25.008050314465407,0.2908805031446541,2022-07-28T13:28:24Z,74,ok,53.483534123733655,13:28:24,53.483534123733655,A,Joa,Joa
81 AN1C 81,NEE,NA,17.300943396226415,28.011949685534592,233.44270440251572,2022-07-28T13:24:21Z,73,weird_flux,24.236231928892817,13:24:21,NA,A,Joa,Joa
81 AN1C 81,GPP,NA,NA,NA,233.44270440251572,2022-07-28T13:24:21Z,NA,weird_flux,NA,13:24:21,NA,A,Joa,Joa
3 WN1C 85,ER,69.94390723920174,15.938490566037736,25.057798742138363,0.009433962264150943,2022-07-28T13:37:25Z,76,ok,69.94390723920174,13:37:25,69.94390723920174,W,Lia,Joa
3 WN1C 85,NEE,14.213093518272885,16.293584905660378,27.136981132075473,1206.4831446540882,2022-07-28T13:33:16Z,75,ok,14.213093518272885,13:33:16,-22.914269337078487,W,Lia,Joa
3 WN1C 85,GPP,-55.73081372092885,NA,NA,1206.4831446540882,2022-07-28T13:33:16Z,NA,ok,NA,13:33:16,-92.85817657628021,W,Lia,Joa
156 AN2C 156,ER,88.18758235704983,17.405220125786162,24.20949685534591,2.118176100628931,2022-07-28T13:48:33Z,78,ok,88.18758235704983,13:48:33,88.18758235704983,A,Joa,Joa
156 AN2C 156,NEE,NA,17.629559748427674,29.07308176100629,314.2589937106918,2022-07-28T13:43:35Z,77,weird_flux,3.3568016909898537,13:43:35,NA,A,Joa,Joa
