year,site,date,plot,h1_cm,h2_cm,h3_cm,h4_cm,center_cm,mean,season,notas
2012,PFEILER,2012-07-24,1,51,50,39,49,30,43.8,,
2012,PFEILER,2012-07-24,2,76,64,52,61,68,64.2,,
2012,PFEILER,2012-07-24,3,39,63,88,60,75,65,,
2012,PFEILER,2012-07-24,4,61,71,36,62,67,59.4,,
2012,PFEILER,2012-07-24,5,52,59,56,51,59,55.4,,
2012,PBM,2012-08-09,1,31,32,64,26,34,37.4,,
2012,PBM,2012-08-09,2,61,56,32,70,28,49.4,,
2012,PBM,2012-08-09,3,38,33,74,38,78,52.2,,
2012,PBM,2012-08-09,4,44,48,50,22,35,39.8,,
2012,PBM,2012-08-09,5,45,41,13,42,18,31.8,,
2013,ALMONT,2013-05-19,1,20,13,20,36,27,23.2,,
2013,ALMONT,2013-05-19,2,13,39,18,37,42,29.8,,
2013,ALMONT,2013-05-19,3,37,13,26,18,19,22.6,,
2013,ALMONT,2013-05-19,4,19,22,14,17,20,18.4,,
2013,ALMONT,2013-05-19,5,17,18,20,10,13,15.6,,
2013,CBT,2013-05-22,1,13,20,27,18,17,19,,
2013,CBT,2013-05-22,2,10,10,10,11,15,11.2,,
2013,CBT,2013-05-22,3,10,8,9,12,9,9.6,,
2013,CBT,2013-05-22,4,10,8,9,12,11,10,,
2013,CBT,2013-05-22,5,27,37,9,7,43,24.6,,
